isotope,atom_fraction
H-1,1.51897646487396E-09
H-2,1.36603050850849E-09
H-3,2.62974851868262E-08
He-3,2.6122191045896E-10
He-4,5.59809294516492E-07
Li-6,1.16879732390285E-08
Li-7,8.95790337433844E-10
Be-9,4.64354906685429E-10
B-10,2.68918305183926E-09
B-11,2.54703841494604E-11
C-nat,0.017763442681576
N-14,5.36931954401952E-14
N-15,3.01415911404179E-10
O-16,0.086076514972093
O-17,3.57139991297671E-09
Ca-46,2.88336131780629E-29
Ca-48,4.65840542713851E-33
Ti-47,1.73440278101493E-25
Ti-48,2.05121420947496E-27
Ti-49,3.4364470637119E-18
Ti-50,1.34201848432818E-15
Cr-52,4.04122094194052E-15
Cr-53,6.95537693066642E-15
Cr-54,1.21519390072683E-14
Mn-55,2.07940856274386E-14
Fe-56,4.61613662728457E-14
Fe-57,1.20221049651271E-13
Fe-58,1.23940594934181E-13
Co-58,5.42265333191869E-22
Co-59,1.92931750058233E-13
Ni-60,1.5708737136514E-17
Ni-61,2.96380750862317E-12
Ni-62,4.64123060181606E-12
Ni-64,1.00736851310336E-11
Cu-63,8.57746599161342E-15
Cu-65,1.96252155673777E-11
Ge-70,2.37709947365327E-15
Ge-72,2.89984514962715E-09
Ge-73,6.5729574876342E-09
Ge-74,2.24636532155607E-08
Ge-76,2.80086033052414E-07
As-75,5.05077153978575E-08
Se-74,3.37012077957885E-16
Se-76,1.02468881074195E-10
Se-77,5.01845850156658E-07
Se-78,1.27769244454184E-06
Se-79,2.82938199650431E-06
Se-80,7.87897157372155E-06
Se-82,2.04675911979365E-05
Br-79,2.29163448793009E-12
Br-81,1.21600309048527E-05
Kr-80,1.12143699298454E-11
Kr-82,3.74959440820954E-08
Kr-83,3.45854067172331E-05
Kr-84,6.63080091733324E-05
Kr-85,1.90398713353714E-05
Kr-86,0.0001318397417
Rb-85,6.71794792671161E-05
Rb-86,5.76274033095866E-09
Rb-87,0.000172097386783
Sr-84,7.38085617927151E-15
Sr-86,2.33112112973815E-08
Sr-87,3.27122688067342E-10
Sr-88,0.000238265469773
Sr-89,0.000117283418068
Sr-90,0.0003888011317
Y-89,0.000204937762148
Y-90,9.82156342315025E-08
