isotope       atom fraction

H-1       1.5189764648739564e-09
H-2       1.3660305085084884e-09
H-3       2.6297485186826156e-08
He-3       2.612219104589605e-10
He-4       5.598092945164923e-07
Li-6       1.1687973239028464e-08
Li-7       8.957903374338444e-10
Be-9       4.6435490668542924e-10
B-10       2.68918305183926e-09
B-11       2.5470384149460404e-11
C-nat       0.017763442681575918
N-14       5.369319544019523e-14
N-15       3.0141591140417885e-10
O-16       0.08607651497209272
O-17       3.571399912976706e-09
Ca-46       2.8833613178062854e-29
Ca-48       4.6584054271385144e-33
Ti-47       1.7344027810149268e-25
Ti-48       2.0512142094749644e-27
Ti-49       3.4364470637118956e-18
Ti-50       1.3420184843281764e-15
Cr-52       4.041220941940516e-15
Cr-53       6.9553769306664214e-15
Cr-54       1.2151939007268262e-14
Mn-55       2.0794085627438572e-14
Fe-56       4.6161366272845684e-14
Fe-57       1.2022104965127084e-13
Fe-58       1.239405949341809e-13
Co-58       5.422653331918693e-22
Co-59       1.9293175005823333e-13
Ni-60       1.5708737136513966e-17
Ni-61       2.963807508623172e-12
Ni-62       4.641230601816057e-12
Ni-64       1.0073685131033644e-11
Cu-63       8.577465991613424e-15
Cu-65       1.9625215567377662e-11
Ge-70       2.3770994736532713e-15
Ge-72       2.899845149627151e-09
Ge-73       6.572957487634203e-09
Ge-74       2.2463653215560727e-08
Ge-76       2.8008603305241395e-07
As-75       5.0507715397857486e-08
Se-74       3.3701207795788494e-16
Se-76       1.0246888107419456e-10
Se-77       5.018458501566579e-07
Se-78       1.277692444541844e-06
Se-79       2.829381996504313e-06
Se-80       7.87897157372155e-06
Se-82       2.0467591197936495e-05
Br-79       2.2916344879300872e-12
Br-81       1.2160030904852691e-05
Kr-80       1.1214369929845416e-11
Kr-82       3.749594408209545e-08
Kr-83       3.458540671723314e-05
Kr-84       6.630800917333236e-05
Kr-85       1.903987133537143e-05
Kr-86       0.00013183974169974497
Rb-85       6.71794792671161e-05
Rb-86       5.7627403309586605e-09
Rb-87       0.0001720973867832678
Sr-84       7.380856179271512e-15
Sr-86       2.3311211297381496e-08
Sr-87       3.271226880673417e-10
Sr-88       0.0002382654697725278
Sr-89       0.00011728341806753032
Sr-90       0.0003888011317002072
Y-89       0.00020493776214838917
Y-90       9.82156342315025e-08
Y-91       0.0001660220991811155
Zr-90       2.2958986451964887e-06
Zr-91       0.00024106399345397422
Zr-92       0.0004275122242229307
Zr-93       0.00046225828692928394
Zr-94       0.000468182647003457
Zr-95       0.0002093319352973269
Zr-96       0.00047220041053442236
Nb-93       1.362602817059803e-11
Nb-94       1.1020437148411849e-11
Nb-95       9.702094283532948e-05
Mo-94       4.697091971207892e-12
Mo-95       0.00017383669016293217
Mo-96       6.899824689946352e-07
Mo-97       0.0004526689336907475
Mo-98       0.00044255588011416267
Mo-99       1.0250706755717728e-05
Mo-100       0.0004928383861826197
Tc-99       0.00046327022872832545
Ru-98       1.4037351144440249e-18
Ru-99       1.554008017000704e-08
Ru-100       3.8058103663719328e-06
Ru-101       0.00041418514166196863
Ru-102       0.0003535077294044353
Ru-103       8.041846015662521e-05
Ru-104       0.00017041263552215012
Ru-105       1.5570265675602892e-07
Ru-106       4.106219791188925e-05
Rh-103       0.00017745531402653083
Rh-105       1.188872503528037e-06
Pd-104       6.773281958957493e-06
Pd-105       8.902996667021179e-05
Pd-106       1.0732129201892473e-05
Pd-107       2.1653645175339617e-05
Pd-108       1.1481584390526732e-05
Pd-110       4.2824504101540825e-06
Ag-107       4.923065030267893e-13
Ag-109       6.114274182873681e-06
Ag-111       2.0021354868224377e-07
Cd-108       2.7921319915566656e-13
Cd-110       1.8179493505692183e-07
Cd-111       2.490549696190919e-06
Cd-112       1.4691158285222607e-06
Cd-113       1.5842662587546145e-07
Cd-114       2.852830315459642e-06
Cd-116       1.5957767557679708e-06
In-113       2.207869709901609e-10
In-115       9.57489692712153e-07
Sn-112       1.4539230635070008e-18
Sn-114       8.497983554890862e-13
Sn-115       5.362918762110042e-08
Sn-116       1.00381353337807e-07
Sn-117       1.3346812243836436e-06
Sn-118       1.5411973611619845e-06
Sn-119       1.1820171206306668e-06
Sn-120       1.5858755462517426e-06
Sn-122       2.0029537686006384e-06
Sn-123       5.797080889583817e-08
Sn-124       2.877187836390749e-06
Sn-125       6.830461671214206e-08
Sn-126       6.720630072540157e-06
Sb-121       1.2433609779364458e-06
Sb-123       1.4304747445516723e-06
Sb-124       3.656246641356361e-09
Sb-125       3.0990513025202314e-06
Sb-126       6.096435640108906e-09
Te-120       1.972159097681019e-21
Te-122       5.531193863787137e-09
Te-123       4.572567668605261e-12
Te-124       3.5167659662521734e-09
Te-125       1.6460738090680408e-07
Te-126       1.0645936854588663e-07
Te-128       3.602985589615253e-05
Te-130       0.00019444738975185619
Te-132       1.1366388500195592e-05
I-127       1.2206491125814975e-05
I-129       7.829592814417017e-05
I-130       2.3878371489872164e-09
I-131       1.9278809614606033e-05
I-135       1.3841781799450283e-06
Xe-126       1.541642870130116e-13
Xe-128       4.091763479774046e-08
Xe-129       2.2012325354784257e-11
Xe-130       3.145729731956703e-07
Xe-131       0.00027733478787370807
Xe-132       0.0004476219535232007
Xe-133       2.8572217610026522e-05
Xe-134       0.0008159378555071413
Xe-135       9.704276368274817e-07
Xe-136       0.0010537741819471019
Cs-133       0.000655199129007275
Cs-134       6.671033104761437e-06
Cs-135       0.00032342314522789875
Cs-136       1.7424401264808097e-07
Cs-137       0.0006547336175956764
Ba-132       6.195911428278838e-13
Ba-134       3.581310214512692e-07
Ba-135       1.4704523554266553e-10
