isotope        atom fraction

H-1       3.3171128305900866e-09
H-2       2.7721426673834793e-09
H-3       5.384715117626226e-08
He-3       7.822286804344522e-10
He-4       1.1346043475309576e-06
Li-6       2.136198658231631e-08
Li-7       2.8893675371412064e-09
Be-9       9.6912378557619e-10
B-10       3.6080018166604735e-09
B-11       8.706419831494907e-11
C-nat       0.01776504165687717
N-14       2.7013822007022335e-13
N-15       5.860897960035655e-10
O-16       0.08608417221640054
O-17       7.373100598477962e-09
Ca-46       2.942724311554667e-27
Ca-48       1.2479283897114218e-31
Ti-47       8.119859026473854e-25
Ti-48       5.732779870143757e-26
Ti-49       6.796751050727924e-18
Ti-50       2.869445128698825e-15
Cr-52       9.183857485572546e-15
Cr-53       1.6223260015850168e-14
Cr-54       2.921392513195093e-14
Mn-55       5.082978375612543e-14
Fe-56       1.1002061407132816e-13
Fe-57       2.909280852745412e-13
Fe-58       2.94351538847593e-13
Co-58       2.509150508835332e-21
Co-59       5.742127307788105e-13
Ni-60       1.8298427544248272e-16
Ni-61       6.249925948533528e-12
Ni-62       9.94665568010991e-12
Ni-64       2.3134453527854135e-11
Cu-63       3.8498531264507314e-14
Cu-65       4.506046886219277e-11
Ge-70       6.900582169853233e-15
Ge-72       6.051383826972874e-09
Ge-73       1.3991695670834559e-08
Ge-74       4.78476965481093e-08
Ge-76       5.506913769865915e-07
As-75       1.0168248146445296e-07
Se-74       1.2046373871581689e-15
Se-76       4.0294821446064784e-10
Se-77       9.98520931397376e-07
Se-78       2.5791380842716656e-06
Se-79       5.479944411837571e-06
Se-80       1.565595784208469e-05
Se-82       4.033655757329004e-05
Br-79       7.205328641302984e-12
Br-81       2.4025733525810416e-05
Kr-80       2.627439240659584e-11
Kr-82       1.1773134084409827e-07
Kr-83       6.639244907853014e-05
Kr-84       0.00013174886017535106
Kr-85       3.674515927913791e-05
Kr-86       0.00025790653415662623
Rb-85       0.00013225533126172287
Rb-86       1.022189589168037e-08
Rb-87       0.0003366668798646215
Sr-84       3.1943958865743966e-14
Sr-86       7.792025838896668e-08
Sr-87       1.0943685386046515e-09
Sr-88       0.0004661970875251661
Sr-89       0.00012152396364707278
Sr-90       0.000755296603042627
Y-89       0.0005081487150151771
Y-90       1.9322917621474693e-07
Y-91       0.00017840057571824516
Zr-90       9.161034461752202e-06
Zr-91       0.0006197669407539294
Zr-92       0.0008406328893190979
Zr-93       0.0009117934408800633
Zr-94       0.0009253326769232882
Zr-95       0.00023393053845563547
Zr-96       0.0009356894196051103
Nb-93       5.495456793764865e-11
Nb-94       3.559045975923924e-11
Nb-95       0.0001264622840601523
Mo-94       3.8280575933442106e-11
Mo-95       0.0005871973036933336
Mo-96       4.16839343341262e-06
Mo-97       0.0009022432329444025
Mo-98       0.0008817188786148074
Mo-99       1.0065499075062863e-05
Mo-100       0.0009844906820926777
Tc-99       0.0009270330376620949
Ru-98       6.83103105064932e-16
Ru-99       3.213490846742813e-08
Ru-100       1.6159882933767374e-05
Ru-101       0.0008295614495566865
Ru-102       0.0007193507951674916
Ru-103       8.794265741107797e-05
Ru-104       0.00036440094558352014
Ru-105       1.8142303512776027e-07
Ru-106       8.760694982564087e-05
Rh-103       0.0004221659279444327
Rh-105       1.3831752647328633e-06
Pd-104       3.695847726273365e-05
Pd-105       0.00020053981810779785
Pd-106       3.873103513665322e-05
Pd-107       5.861398066135305e-05
Pd-108       3.350283504254078e-05
Pd-110       1.2058558274736776e-05
Ag-107       2.5558604185425485e-12
Ag-109       1.796717544951712e-05
Ag-111       2.790673871585019e-07
Cd-108       1.658624611581359e-12
Cd-110       1.1011427030453516e-06
Cd-111       6.623741618763896e-06
Cd-112       3.6079290739550696e-06
Cd-113       1.7636014283167726e-07
Cd-114       6.553826786032964e-06
Cd-116       3.375998050614213e-06
In-113       9.504561888020192e-10
In-115       1.9059225314387037e-06
Sn-112       1.2853090474506409e-17
Sn-114       8.485118335981136e-12
Sn-115       1.1697027028881423e-07
Sn-116       4.2746705260071217e-07
Sn-117       2.864880523934756e-06
Sn-118       3.2625921728901697e-06
Sn-119       2.644397383856773e-06
Sn-120       3.320304416789665e-06
Sn-122       4.30828674874171e-06
Sn-123       9.166035522748693e-08
Sn-124       6.360640346157642e-06
Sn-125       7.806856257960806e-08
Sn-126       1.4842239753764884e-05
Sb-121       2.662737638456628e-06
Sb-123       3.077662030078144e-06
Sb-124       9.969205918784993e-09
Sb-125       6.372124600773218e-06
Sb-126       7.927663705959655e-09
Te-120       4.678874461419797e-20
Te-122       2.5020035380294387e-08
Te-123       4.278662281966138e-11
Te-124       1.886827571270287e-08
Te-125       7.130940132189738e-07
Te-126       2.6246295536633747e-07
Te-128       7.562222539688864e-05
Te-130       0.0003929760988336467
Te-132       1.1247931751396615e-05
I-127       2.7899009803401067e-05
I-129       0.00016756009404548988
I-130       5.281238619189758e-09
I-131       1.9205529080629805e-05
I-135       1.364416739576938e-06
Xe-126       8.111884607393996e-13
Xe-128       1.951559486241219e-07
Xe-129       2.0030249503141893e-10
Xe-130       1.3593884000659215e-06
Xe-131       0.000561816464494238
Xe-132       0.0009265602100769721
Xe-133       2.8125967044259966e-05
Xe-134       0.0016223532800995432
Xe-135       9.282787564921296e-07
Xe-136       0.002121049989831354
Cs-133       0.0013259267555803156
Cs-134       2.744973266915276e-05
Cs-135       0.0006379662563620655
Cs-136       3.331315843820118e-07
Cs-137       0.0013020307768552685
Ba-132       2.8348105080885876e-12
Ba-134       3.0126937013146506e-06
Ba-135       2.2041767164311938e-09
Ba-136       3.70783208698859e-06
