isotope pass1 pass2 pass3 pass4 pass5 pass6
H-1 1.52E-09 3.32E-09 5.45E-09 7.92E-09 1.08E-08 1.40E-08
H-2 1.37E-09 2.77E-09 4.21E-09 5.65E-09 7.11E-09 8.58E-09
H-3 2.63E-08 5.38E-08 8.29E-08 1.13E-07 1.45E-07 1.78E-07
He-3 2.61E-10 7.82E-10 1.34E-09 1.83E-09 2.19E-09 2.40E-09
He-4 5.60E-07 1.13E-06 1.75E-06 2.43E-06 3.23E-06 4.19E-06
Li-6 1.17E-08 2.14E-08 2.89E-08 3.40E-08 3.67E-08 3.70E-08
Li-7 8.96E-10 2.89E-09 5.38E-09 8.03E-09 1.07E-08 1.33E-08
Be-9 4.64E-10 9.69E-10 1.50E-09 2.03E-09 2.57E-09 3.11E-09
B-10 2.69E-09 3.61E-09 3.67E-09 3.34E-09 2.85E-09 2.30E-09
B-11 2.55E-11 8.71E-11 1.71E-10 2.68E-10 3.76E-10 4.93E-10
C-nat 1.78E-02 1.78E-02 1.78E-02 0.017767987590131 0.017769302305431 0.017770521110677
N-14 5.37E-14 2.70E-13 5.49E-13 9.44E-13 1.45E-12 2.20E-12
N-15 3.01E-10 5.86E-10 8.57E-10 1.12E-09 1.37E-09 1.62E-09
O-16 8.61E-02 8.61E-02 8.61E-02 0.086098265456465 0.086104545216876 0.086110360213852
O-17 3.57E-09 7.37E-09 1.16E-08 1.62E-08 2.15E-08 2.77E-08
Ca-46 2.88E-29 2.94E-27 3.87E-27 1.48E-26 1.94E-26 6.52E-26
Ca-48 4.66E-33 1.25E-31 1.68E-31 4.01E-31 5.58E-31 1.55E-30
Ti-47 1.73E-25 8.12E-25 2.05E-24 3.86E-24 6.58E-24 1.03E-23
Ti-48 2.05E-27 5.73E-26 9.27E-26 3.33E-25 4.92E-25 1.54E-24
Ti-49 3.44E-18 6.80E-18 1.00E-17 1.30E-17 1.58E-17 1.84E-17
Ti-50 1.34E-15 2.87E-15 4.47E-15 6.05E-15 7.60E-15 9.11E-15
Cr-52 4.04E-15 9.18E-15 1.49E-14 2.08E-14 2.68E-14 3.29E-14
Cr-53 6.96E-15 1.62E-14 2.68E-14 3.79E-14 4.94E-14 6.12E-14
Cr-54 1.22E-14 2.92E-14 4.92E-14 7.07E-14 9.37E-14 1.18E-13
Mn-55 2.08E-14 5.08E-14 8.63E-14 1.25E-13 1.66E-13 2.08E-13
Fe-56 4.62E-14 1.10E-13 1.85E-13 2.65E-13 3.51E-13 4.41E-13
Fe-57 1.20E-13 2.91E-13 4.93E-13 7.13E-13 9.49E-13 1.20E-12
Fe-58 1.24E-13 2.94E-13 4.93E-13 7.06E-13 9.32E-13 1.17E-12
Co-58 5.42E-22 2.51E-21 5.59E-21 9.79E-21 1.58E-20 2.40E-20
Co-59 1.93E-13 5.74E-13 1.04E-12 1.56E-12 2.10E-12 2.66E-12
Ni-60 1.57E-17 1.83E-16 7.86E-16 2.20E-15 4.93E-15 9.62E-15
Ni-61 2.96E-12 6.25E-12 9.67E-12 1.31E-11 1.64E-11 1.97E-11
Ni-62 4.64E-12 9.95E-12 1.56E-11 2.12E-11 2.69E-11 3.25E-11
Ni-64 1.01E-11 2.31E-11 3.81E-11 5.40E-11 7.09E-11 8.87E-11
Cu-63 8.58E-15 3.85E-14 9.45E-14 1.78E-13 2.93E-13 4.40E-13
Cu-65 1.96E-11 4.51E-11 7.42E-11 1.05E-10 1.39E-10 1.74E-10
Ge-70 2.38E-15 6.90E-15 1.27E-14 1.92E-14 2.64E-14 3.40E-14
Ge-72 2.90E-09 6.05E-09 9.33E-09 1.26E-08 1.60E-08 1.93E-08
Ge-73 6.57E-09 1.40E-08 2.19E-08 3.00E-08 3.82E-08 4.65E-08
Ge-74 2.25E-08 4.78E-08 7.50E-08 1.03E-07 1.31E-07 1.61E-07
Ge-76 2.80E-07 5.51E-07 8.15E-07 1.07E-06 1.32E-06 1.55E-06
As-75 5.05E-08 1.02E-07 1.53E-07 2.03E-07 2.53E-07 3.02E-07
